unique_vehicle_key,scenario_key,lead_time_days,duration_days,collection_date,pickup_date,dropoff_date,pickup_time,dropoff_time,supplier,car_name,category,pickup_location,dropoff_location,price_per_day_aed,total_price_aed,mileage,source_currency,supplier_rating,rating_text,number_of_reviews,condition_rating,location_rating,cleanliness_rating,efficiency_rating,value_for_money_rating,pickup_time_rating,dropoff_time_rating
835178741_Europcar_Dubai - Emirates Tower,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Mazda 6,Standard,Dubai - Emirates Tower,Dubai - Emirates Tower,126.04,126.04,Unlimited km,USD,6.2,Good,49,6.6,4.5,7.0,6.1,6.1,5.0,8.0
785307796_Budget_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Mini Cooper,Compact,Dubai International Airport,Dubai International Airport,230.77,230.77,Unlimited km,USD,7.5,Very good,1685,7.8,7.0,8.4,7.7,7.6,6.2,7.6
835179476_Europcar_Dubai - Emirates Tower,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Fortuner,Full-size,Dubai - Emirates Tower,Dubai - Emirates Tower,193.16,193.16,Unlimited km,USD,6.2,Good,49,6.6,4.5,7.0,6.1,6.1,5.0,8.0
754976166_Dollar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Audi Q3,Intermediate,Dubai International Airport,Dubai International Airport,293.22,293.22,Unlimited km,USD,8.0,Excellent,1590,8.3,8.0,8.4,7.9,7.8,7.4,8.0
802710716_Dollar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Infiniti Q50,Special,Dubai International Airport,Dubai International Airport,288.11,288.11,Unlimited km,USD,8.0,Excellent,1590,8.3,8.0,8.4,7.9,7.8,7.4,8.0
835180336_Europcar_Dubai - Suha Mina Rashid Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Raize,Mini,Dubai - Suha Mina Rashid Hotel,Dubai - Suha Mina Rashid Hotel,213.62,213.62,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835180341_Europcar_Dubai - Suha Creek Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Raize,Mini,Dubai - Suha Creek Hotel,Dubai - Suha Creek Hotel,213.62,213.62,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835180346_Europcar_Dubai - Suha Park Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Raize,Mini,Dubai - Suha Park Hotel,Dubai - Suha Park Hotel,213.62,213.62,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835424376_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Land Cruiser Prado,Special,Dubai International Airport,Dubai International Airport,283.62,283.62,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
822259156_Keddy By Europcar_Dubai - Suha Mina Rashid Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Nissan X-Trail,Standard,Dubai - Suha Mina Rashid Hotel,Dubai - Suha Mina Rashid Hotel,325.83,325.83,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822259161_Keddy By Europcar_Dubai - Suha Creek Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Nissan X-Trail,Standard,Dubai - Suha Creek Hotel,Dubai - Suha Creek Hotel,325.83,325.83,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822259166_Keddy By Europcar_Dubai - Suha Park Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Nissan X-Trail,Standard,Dubai - Suha Park Hotel,Dubai - Suha Park Hotel,325.83,325.83,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835165366_Europcar_Sharjah - Al Majaz,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Kia Picanto,Mini,Sharjah - Al Majaz,Sharjah - Al Majaz,93.14,93.14,Unlimited km,USD,7.7,Very good,10,7.4,6.9,7.3,8.4,7.4,8.3,8.4
752909646_Dollar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Infiniti QX50,Intermediate,Dubai International Airport,Dubai International Airport,304.81,304.81,Unlimited km,USD,8.0,Excellent,1590,8.3,8.0,8.4,7.9,7.8,7.4,8.0
754979396_Thrifty_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Infiniti QX55,Intermediate,Dubai International Airport,Dubai International Airport,304.81,304.81,Unlimited km,USD,8.0,Excellent,1232,8.2,8.2,8.4,7.9,7.7,7.4,8.0
769347666_Budget_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,BMW X1,Intermediate,Dubai International Airport,Dubai International Airport,283.73,283.73,Unlimited km,USD,7.5,Very good,1685,7.8,7.0,8.4,7.7,7.6,6.2,7.6
835179656_Europcar_Dubai International Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Nissan Sunny,Compact,Dubai International Airport T3,Dubai International Airport T3,131.41,131.41,Unlimited km,USD,7.5,Very good,46,7.4,7.6,8.2,7.3,6.9,7.3,7.6
752583966_Sixt_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Sixt,Toyota Yaris,Mini,Dubai International Airport,Dubai International Airport,90.34,90.34,Unlimited km,USD,7.0,Very good,563,7.8,7.0,8.5,6.4,6.2,5.5,7.6
835179131_Europcar_Dubai International Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Mazda 3,Compact,Dubai International Airport T3,Dubai International Airport T3,137.01,137.01,Unlimited km,USD,7.5,Very good,46,7.4,7.6,8.2,7.3,6.9,7.3,7.6
763903991_Green Motion_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Green Motion,Mazda 6,Standard,Dubai International Airport,Dubai International Airport,127.44,127.44,Unlimited km,USD,6.2,Good,82,7.0,5.4,7.3,6.5,6.4,4.5,6.5
835179021_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Chevrolet Tahoe,Premium,Dubai International Airport,Dubai International Airport,297.6,297.6,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
835165341_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Kia Picanto,Mini,Dubai International Airport,Dubai International Airport,115.18,115.18,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
822314311_Keddy By Europcar_Sharjah - Al Zahra'a Street,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Ford Everest 4x4,Full-size,Sharjah - Al Zahra'a Street,Sharjah - Al Zahra'a Street,266.87,266.87,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835424406_Europcar_Sharjah - Al Majaz,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Land Cruiser Prado,Special,Sharjah - Al Majaz,Sharjah - Al Majaz,263.6,263.6,Unlimited km,USD,7.7,Very good,10,7.4,6.9,7.3,8.4,7.4,8.3,8.4
822259456_Keddy By Europcar_Dubai - Emirates Tower,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Toyota Prado,Special,Dubai - Emirates Tower,Dubai - Emirates Tower,353.21,353.21,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728601186_Hertz_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Hertz,Toyota C-HR,Compact,Dubai International Airport,Dubai International Airport,126.52,126.52,Unlimited km,USD,6.3,Good,751,6.9,6.8,6.8,5.8,6.4,4.6,6.7
729250586_Thrifty_Dubai - Golden Sands Apartments,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Volvo S90,Luxury,Dubai - Golden Sands Apartments,Dubai - Golden Sands Apartments,288.11,288.11,Unlimited km,USD,9.0,Superb,13,8.2,9.6,7.3,10.0,8.9,9.3,9.4
735477636_Thrifty_Dubai - Golden Sands Apartments,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Audi A6,Luxury,Dubai - Golden Sands Apartments,Dubai - Golden Sands Apartments,288.11,288.11,Unlimited km,USD,9.0,Superb,13,8.2,9.6,7.3,10.0,8.9,9.3,9.4
822256781_Keddy By Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Nissan Sunny,Compact,Dubai International Airport,Dubai International Airport,180.5,180.5,350 kilometres per rental,USD,8.9,Excellent,9,9.2,9.2,9.2,9.0,7.8,8.7,9.5
822314131_Keddy By Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Kia K5,Full-size,Dubai International Airport,Dubai International Airport,231.1,231.1,350 kilometres per rental,USD,8.9,Excellent,9,9.2,9.2,9.2,9.0,7.8,8.7,9.5
744144071_Dollar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Jeep Wrangler,Premium,Dubai International Airport,Dubai International Airport,322.85,322.85,Unlimited km,USD,8.0,Excellent,1590,8.3,8.0,8.4,7.9,7.8,7.4,8.0
835179016_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Chevrolet Tahoe,Premium,Dubai International Airport,Dubai International Airport,307.76,307.76,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
835826261_Dollar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Lincoln Corsair AWD,Premium,Dubai International Airport,Dubai International Airport,309.97,309.97,Unlimited km,USD,8.0,Excellent,1590,8.3,8.0,8.4,7.9,7.8,7.4,8.0
822315046_Keddy By Europcar_Dubai - Emirates Tower,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Jeep Grand Cherokee,Luxury,Dubai - Emirates Tower,Dubai - Emirates Tower,364.39,364.39,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835424381_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Land Cruiser Prado,Special,Dubai International Airport,Dubai International Airport,285.64,285.64,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
721685396_Thrifty_Sharjah - Golden Sands Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Toyota Yaris Sedan,Economy,Sharjah - Golden Sands Hotel,Sharjah - Golden Sands Hotel,100.57,100.57,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822314951_Keddy By Europcar_Sharjah - Al Zahra'a Street,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Audi A6,Premium,Sharjah - Al Zahra'a Street,Sharjah - Al Zahra'a Street,370.65,370.65,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822257536_Keddy By Europcar_Dubai - Emirates Tower,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Toyota Fortuner,Full-size,Dubai - Emirates Tower,Dubai - Emirates Tower,272.17,272.17,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736080561_Green Motion_Dubai - Al Rais Shopping Centre,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Green Motion,Kia Picanto,Economy,Dubai - Al Rais Shopping Centre,Dubai - Al Rais Shopping Centre,103.89,103.89,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839926836_Green Motion_Dubai - Al Rais Shopping Centre,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Green Motion,Hyundai Accent,Economy,Dubai - Al Rais Shopping Centre,Dubai - Al Rais Shopping Centre,103.89,103.89,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822256896_Keddy By Europcar_Dubai - Emirates Tower,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Hyundai Elantra,Compact,Dubai - Emirates Tower,Dubai - Emirates Tower,178.26,178.26,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728843371_Hertz_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Hertz,Toyota Corolla Cross Hybrid,Compact,Dubai International Airport,Dubai International Airport,127.36,127.36,Unlimited km,USD,6.3,Good,751,6.9,6.8,6.8,5.8,6.4,4.6,6.7
769691166_Hertz_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Hertz,Toyota Corolla Cross,Compact,Dubai International Airport,Dubai International Airport,127.36,127.36,Unlimited km,USD,6.3,Good,751,6.9,6.8,6.8,5.8,6.4,4.6,6.7
721685401_Thrifty_Sharjah - Golden Sands Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Dodge Charger,Premium,Sharjah - Golden Sands Hotel,Sharjah - Golden Sands Hotel,236.66,236.66,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822258861_Keddy By Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Volkswagen Teramont,Premium,Dubai International Airport,Dubai International Airport,329.29,329.29,350 kilometres per rental,USD,8.9,Excellent,9,9.2,9.2,9.2,9.0,7.8,8.7,9.5
835165336_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Kia Picanto,Mini,Dubai International Airport,Dubai International Airport,118.5,118.5,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
805801971_Avis_Dubai - Marwan Building,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Avis,Nissan X-trail,Intermediate,Dubai - Marwan Building,Dubai - Marwan Building,217.64,217.64,Unlimited km,USD,7.0,Very good,62,7.0,8.0,7.0,5.5,5.5,6.5,9.5
785274621_Thrifty_Dubai - Golden Sands Apartments,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Thrifty,Audi Q2,Intermediate,Dubai - Golden Sands Apartments,Dubai - Golden Sands Apartments,276.52,276.52,Unlimited km,USD,9.0,Superb,13,8.2,9.6,7.3,10.0,8.9,9.3,9.4
835180181_Europcar_Dubai International Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Ford Taurus,Full-size,Dubai International Airport T3,Dubai International Airport T3,207.22,207.22,Unlimited km,USD,7.5,Very good,46,7.4,7.6,8.2,7.3,6.9,7.3,7.6
805803011_Avis_Sharjah - Al Khan,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Avis,Toyota Fortuner,Standard,Sharjah - Al Khan,Sharjah - Al Khan,228.75,228.75,Unlimited km,USD,8.9,Excellent,8,10.0,10.0,8.0,10.0,8.0,8.0,8.0
709200866_Hertz_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Hertz,Honda Accord,Standard,Dubai International Airport,Dubai International Airport,136.82,136.82,Unlimited km,USD,6.3,Good,751,6.9,6.8,6.8,5.8,6.4,4.6,6.7
837924921_Avis_Dubai Airport T1 Departures,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Avis,Hyundai Creta,Economy,Dubai Airport T1 Departures,Dubai Airport T1 Departures,211.34,211.34,Unlimited km,USD,9.1,Superb,51,9.0,9.0,9.0,9.0,8.0,10.0,10.0
740676571_Sixt_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Sixt,Audi A3,Compact,Dubai International Airport,Dubai International Airport,128.06,128.06,Unlimited km,USD,7.0,Very good,563,7.8,7.0,8.5,6.4,6.2,5.5,7.6
822258996_Keddy By Europcar_Dubai - Suha Mina Rashid Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Mazda 6,Standard,Dubai - Suha Mina Rashid Hotel,Dubai - Suha Mina Rashid Hotel,305.73,305.73,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822259001_Keddy By Europcar_Dubai - Suha Creek Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Mazda 6,Standard,Dubai - Suha Creek Hotel,Dubai - Suha Creek Hotel,305.73,305.73,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822259006_Keddy By Europcar_Dubai - Suha Park Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Mazda 6,Standard,Dubai - Suha Park Hotel,Dubai - Suha Park Hotel,305.73,305.73,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822256941_Keddy By Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Hyundai Elantra,Compact,Dubai International Airport,Dubai International Airport,194.01,194.01,350 kilometres per rental,USD,8.9,Excellent,9,9.2,9.2,9.2,9.0,7.8,8.7,9.5
822257441_Keddy By Europcar_Sharjah - Al Zahra'a Street,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Kia Pegas,Economy,Sharjah - Al Zahra'a Street,Sharjah - Al Zahra'a Street,142.86,142.86,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822314471_Keddy By Europcar_Sharjah - Al Zahra'a Street,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Ford Taurus,Full-size,Sharjah - Al Zahra'a Street,Sharjah - Al Zahra'a Street,263.6,263.6,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822257261_Keddy By Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Hyundai Accent,Economy,Dubai International Airport,Dubai International Airport,171.86,171.86,350 kilometres per rental,USD,8.9,Excellent,9,9.2,9.2,9.2,9.0,7.8,8.7,9.5
822257421_Keddy By Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Kia Pegas,Economy,Dubai International Airport,Dubai International Airport,169.72,169.72,350 kilometres per rental,USD,8.9,Excellent,9,9.2,9.2,9.2,9.0,7.8,8.7,9.5
835179026_Europcar_Dubai International Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Chevrolet Tahoe,Premium,Dubai International Airport T3,Dubai International Airport T3,307.76,307.76,Unlimited km,USD,7.5,Very good,46,7.4,7.6,8.2,7.3,6.9,7.3,7.6
785307801_Budget_Dubai Airport T3,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Budget,Mini Cooper,Compact,Dubai Airport T3,Dubai Airport T3,230.77,230.77,Unlimited km,USD,7.2,Very good,166,8.2,5.8,8.4,7.3,7.1,5.8,7.8
728411841_Sixt_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Sixt,Mercedes A-Class,Compact,Dubai International Airport,Dubai International Airport,142.89,142.89,Unlimited km,USD,7.0,Very good,563,7.8,7.0,8.5,6.4,6.2,5.5,7.6
822258541_Keddy By Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Kia Picanto,Mini,Dubai International Airport,Dubai International Airport,165.38,165.38,350 kilometres per rental,USD,8.9,Excellent,9,9.2,9.2,9.2,9.0,7.8,8.7,9.5
835424436_Europcar_Dubai - Suha Mina Rashid Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Peugeot 2008,Economy,Dubai - Suha Mina Rashid Hotel,Dubai - Suha Mina Rashid Hotel,234.01,234.01,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835424441_Europcar_Dubai - Suha Creek Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Peugeot 2008,Economy,Dubai - Suha Creek Hotel,Dubai - Suha Creek Hotel,234.01,234.01,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835424446_Europcar_Dubai - Suha Park Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Peugeot 2008,Economy,Dubai - Suha Park Hotel,Dubai - Suha Park Hotel,234.01,234.01,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728411861_Sixt_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Sixt,Audi A3,Compact,Dubai International Airport,Dubai International Airport,130.12,130.12,Unlimited km,USD,7.0,Very good,563,7.8,7.0,8.5,6.4,6.2,5.5,7.6
835424696_Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Volkswagen Golf GTI,Compact,Dubai International Airport,Dubai International Airport,322.26,322.26,Unlimited km,USD,8.0,Excellent,1875,8.1,8.0,8.7,7.9,7.7,7.1,8.2
822258016_Keddy By Europcar_Dubai - Emirates Tower,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Toyota Corolla,Intermediate,Dubai - Emirates Tower,Dubai - Emirates Tower,184.48,184.48,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822348526_Sixt_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Sixt,BMW 2 Series,Intermediate,Dubai International Airport,Dubai International Airport,132.52,132.52,Unlimited km,USD,7.0,Very good,563,7.8,7.0,8.5,6.4,6.2,5.5,7.6
837925156_Avis_Sharjah - Al Khan,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Avis,Toyota Land Cruiser Prado,Full-size,Sharjah - Al Khan,Sharjah - Al Khan,286.64,286.64,Unlimited km,USD,8.9,Excellent,8,10.0,10.0,8.0,10.0,8.0,8.0,8.0
835826281_Dollar_Sharjah - Al Khaledia,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Lincoln Corsair AWD,Premium,Sharjah - Al Khaledia,Sharjah - Al Khaledia,309.97,309.97,Unlimited km,USD,7.7,Very good,5,10.0,4.0,10.0,10.0,6.0,4.0,10.0
822257581_Keddy By Europcar_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Toyota Fortuner,Full-size,Dubai International Airport,Dubai International Airport,289.73,289.73,350 kilometres per rental,USD,8.9,Excellent,9,9.2,9.2,9.2,9.0,7.8,8.7,9.5
839926811_Green Motion_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Green Motion,Suzuki Ciaz,Intermediate,Dubai International Airport,Dubai International Airport,103.89,103.89,Unlimited km,USD,6.2,Good,82,7.0,5.4,7.3,6.5,6.4,4.5,6.5
839949891_Green Motion_Dubai International Airport,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Green Motion,Geely GX3 Pro,Intermediate,Dubai International Airport,Dubai International Airport,103.89,103.89,Unlimited km,USD,6.2,Good,82,7.0,5.4,7.3,6.5,6.4,4.5,6.5
822314246_Keddy By Europcar_Dubai - Emirates Tower,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Keddy By Europcar,Ford Everest 4x4,Full-size,Dubai - Emirates Tower,Dubai - Emirates Tower,288.29,288.29,350 kilometres per rental,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835179181_Europcar_Dubai - Suha Mina Rashid Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Corolla Cross,Intermediate,Dubai - Suha Mina Rashid Hotel,Dubai - Suha Mina Rashid Hotel,251.64,251.64,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835179186_Europcar_Dubai - Suha Creek Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Corolla Cross,Intermediate,Dubai - Suha Creek Hotel,Dubai - Suha Creek Hotel,251.64,251.64,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835179191_Europcar_Dubai - Suha Park Hotel,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Europcar,Toyota Corolla Cross,Intermediate,Dubai - Suha Park Hotel,Dubai - Suha Park Hotel,251.64,251.64,Unlimited km,USD,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744142571_Dollar_Dubai - Four Points,lead_7_duration_1,7,1,2026-04-10,2026-04-17,2026-04-18,10:00,10:00,Dollar,Mazda 3,Intermediate,Dubai - Four Points,Dubai - Four Points,118.13,118.13,Unlimited km,USD,6.6,Good,8,10.0,2.0,10.0,8.0,10.0,2.0,4.0
